source,target
vicepresidente,vice president
vicepresidente consejo administracion,vice president accounts
enfermero interna residente,vice president internal audit
vicepresidente operaciones,vice president operations
subdirector,vice principal
editor de video,video editor
editor videos,video editor
realizador editor video,video editor
redactor videos,video editor
productor video,video producer
tecnico superiror de imagen,video technician
editor video realizador,videographer editor
profesor violin lenguaje musical,violin teacher
violinista,violinist
profesor universitario asistente,visiting assistant professor
profesor visitante,visiting professor
actor de doblaje,voice actor
actor voz,voice actor
doblador,voice-over artist
entrenador voleibol,volleyball coach
voluntario,voluntary worker
cooperante,volunteer
asistente voluntario,volunteer assistant
coordinador voluntario,volunteer coordinator
barman encargado,waiter
camarero,waiter
camarero / responsable de sala,waiter
camarero auxiliar cocina,waiter
camarero cocinero,waiter
camarero de sala,waiter
camarero parcial,waiter
camarero restaurante,waiter
mozo,waiter
camarero supervisor,waiter supervisor
administrativo almacen,warehouse administrator
administrativo almacenero,warehouse administrator
administrativo responsable almacen,warehouse administrator
auxiliar administrativo almacen,warehouse administrator
auxiliar administrativo encargado almacen,warehouse administrator
encargado almacen administrativo,warehouse administrator
responsable administracion almacen,warehouse administrator
responsable almacen administrativo,warehouse administrator
asistente de almacen,warehouse assistant
auxiliar de almacen,warehouse assistant
ayudante de almacen,warehouse assistant
mozo almacen auxiliar administrativo,warehouse assistant
coordinador almacen,warehouse coordinator
responsable almacen atencion,warehouse coordinator
encargado almacen reparto,warehouse distribution manager
almacenero,warehouse employee
empleada almacen,warehouse employee
responsable almacen logistico,warehouse logistics
adjunto jefe almacen,warehouse manager
administrativo / jefe de almacen,warehouse manager
director almacen,warehouse manager
encargado almacen repartidor,warehouse manager
encargado de almacen,warehouse manager
gestor almacen,warehouse manager
gestor almacenes,warehouse manager
jefe de almacen,warehouse manager
jefe de almacenes,warehouse manager
reponsable almacen,warehouse manager
responsable almacen tienda,warehouse manager
responsable almacenamiento,warehouse manager
responsable de almacen,warehouse manager
responsable de bodega,warehouse manager
responsable gestion almacen,warehouse manager
responsable tienda almacen,warehouse manager
almacenista,warehouse worker
mozo descarga,warehouse worker
operario almacen,warehouse worker
trabajador de almacen,warehouse worker
peon de almacen,warehouseman
relojero,watchmaker
tecnico tratamiento agua,water technician
tecnico tratamiento aguas,water technician
tecnico tratamientos agua,water technician
asesor patrimonial,wealth advisor
consultor sistemas gestion calidad,wealth management consultant
gestor patrimonial,wealth manager
administrador web,web administrator
analista web,web analyst
desarrollador aplicaciones moviles web,web application developer
desarrollador aplicaciones web,web application developer
desarrollador aplicaciones web moviles,web application developer
consultor web,web consultant
editor de contenidos web,web content editor
redactor contenido web,web content editor
redactor contenidos web,web content editor
contenido web,web content manager
gestor contenido web,web content manager
gestor contenidos web,web content manager
gestor de contenidos web,web content manager
redactor gestor contenidos web,web content manager
responsable contenido web,web content manager
responsable contenidos web,web content manager
coordinador web,web coordinator
creativo web,web designer
desarrollador disenador web,web designer developer
disenador y desarrollador web,web designer developer
administrador sistemas programador web,web developer
desarrolador web,web developer
desarrollador de paginas web,web developer
desarrollador paginas web,web developer
desarrollador programador web,web developer
desarrollador web,web developer
desarrollador web movil,web developer
desarrollador web programador,web developer
desarrollador web seo,web developer
desarrollador web webmaster,web developer
desarrolladora web,web developer
consultor desarrollador web,web developer consultant
maquetador desarrollador web,web developer designer
desarrollo mantenimiento web,web development
desarrollo paginas web,web development
desarrollo web multimedia,web development
responsable desarrollo web,web development
editor web,web editor
redactor web,web editor
ingeniero web,web engineer
desarrollador web disenador grafico,web graphic designer
gestor web,web manager
jefe web,web manager
analista programador funcional,web programmer
programador web,web programmer
programador web seo,web programmer
desarrollador software web,web software developer
administrador contenidos web,website administrator
desarrollador de sitios web,website developer
redactor jefe web,website editor
oficial primera soldadura,welder
oficial soldador montador,welder
oficial soldadura,welder
soldador,welder
soldador calderero,welder
soldador oficial primera,welder
soldador montador,welder fitter
inspector de soldadura,welding inspector
soldadura,welding inspector
encargado soldadura,welding manager
tecnico mantenimiento aerogeneradores,wind turbine technician
